2026-05-04 01:34:47 | INFO    | ontchatbot                         | [init] logging started log_file=D:\dev\test\logs\chatbot.log level=INFO
2026-05-04 01:34:47 | INFO    | ontchatbot.api.server              | [startup] FastAPI ready log_file=D:\dev\test\logs\chatbot.log
2026-05-04 01:35:02 | INFO    | ontchatbot.api.server              | [http] rid=7930b3f9 GET /
2026-05-04 01:35:02 | INFO    | ontchatbot.api.server              | [http] rid=7930b3f9 status=200 elapsed=127.5ms
2026-05-04 01:35:16 | INFO    | ontchatbot.api.server              | [http] rid=107ef9eb POST /chat
2026-05-04 01:35:16 | INFO    | ontchatbot.pipeline                | [recv] message='hp k65 và 67 như nào' length=20
2026-05-04 01:35:16 | INFO    | ontchatbot.ner.inference           | [load] loading PhoBERT NER from D:\dev\test\models\phobert-ner
2026-05-04 01:35:20 | INFO    | ontchatbot.ner.inference           | [load] device=cuda:0 n_labels=11
2026-05-04 01:35:20 | INFO    | ontchatbot.ner.inference           | [preprocess] words(n=7)=['học', 'phần', 'k65', 'và', '67', 'như', 'nào']
2026-05-04 01:35:20 | INFO    | ontchatbot.ner.inference           | [ner] tags=[('học', 'B-DinhMucHocPhi'), ('phần', 'I-DinhMucHocPhi'), ('k65', 'I-DinhMucHocPhi'), ('và', 'I-DinhMucHocPhi'), ('67', 'I-DinhMucHocPhi'), ('như', 'O'), ('nào', 'O')]
2026-05-04 01:35:20 | INFO    | ontchatbot.pipeline                | [ner] extracted=1 spans=[{'surface': 'học phần k65 và 67', 'tag': 'DinhMucHocPhi', 'start': 0, 'end': 5}]
2026-05-04 01:35:20 | INFO    | ontchatbot.pipeline                | [fuzzy] surface='học phần k65 và 67' tag=DinhMucHocPhi candidates=[('Phi_K65_550k', 56.0), ('Phi_K65_620k', 56.0), ('Phi_K63_600k', 50.0)]
2026-05-04 01:35:20 | INFO    | ontchatbot.pipeline                | [fuzzy] pick surface='học phần k65 và 67' tag=DinhMucHocPhi -> iri=Phi_K65_550k score=56.00
2026-05-04 01:35:20 | INFO    | ontchatbot.ontology.queries        | [fetch] tag=DinhMucHocPhi iri=Phi_K65_550k keys=['based_on', 'decision', 'fee_per_credit', 'iri', 'kind', 'label', 'target']
2026-05-04 01:35:20 | INFO    | ontchatbot.ontology.response       | [render] tag=DinhMucHocPhi iri=Phi_K65_550k chars=337
2026-05-04 01:35:20 | INFO    | ontchatbot.pipeline                | [compose] greeting=False n_matched=1 block_chars=337 reply_chars=337
2026-05-04 01:35:20 | INFO    | ontchatbot.api.server              | [http] rid=107ef9eb status=200 elapsed=4044.2ms
2026-05-04 01:37:11 | INFO    | ontchatbot.api.server              | [http] rid=d0228ca7 POST /chat
2026-05-04 01:37:11 | INFO    | ontchatbot.pipeline                | [recv] message='hp k67 như nào' length=14
2026-05-04 01:37:11 | INFO    | ontchatbot.ner.inference           | [preprocess] words(n=5)=['học', 'phần', 'k67', 'như', 'nào']
2026-05-04 01:37:11 | INFO    | ontchatbot.ner.inference           | [ner] tags=[('học', 'B-DinhMucHocPhi'), ('phần', 'I-DinhMucHocPhi'), ('k67', 'I-DinhMucHocPhi'), ('như', 'O'), ('nào', 'O')]
2026-05-04 01:37:11 | INFO    | ontchatbot.pipeline                | [ner] extracted=1 spans=[{'surface': 'học phần k67', 'tag': 'DinhMucHocPhi', 'start': 0, 'end': 3}]
2026-05-04 01:37:11 | INFO    | ontchatbot.pipeline                | [fuzzy] surface='học phần k67' tag=DinhMucHocPhi candidates=[('Phi_K67_550k', 73.68), ('Phi_K67_620k', 73.68), ('Phi_K63_600k', 52.63)]
2026-05-04 01:37:11 | INFO    | ontchatbot.pipeline                | [fuzzy] pick surface='học phần k67' tag=DinhMucHocPhi -> iri=Phi_K67_550k score=73.68
2026-05-04 01:37:11 | INFO    | ontchatbot.ontology.queries        | [fetch] tag=DinhMucHocPhi iri=Phi_K67_550k keys=['based_on', 'decision', 'fee_per_credit', 'iri', 'kind', 'label', 'target']
2026-05-04 01:37:11 | INFO    | ontchatbot.ontology.response       | [render] tag=DinhMucHocPhi iri=Phi_K67_550k chars=388
2026-05-04 01:37:11 | INFO    | ontchatbot.pipeline                | [compose] greeting=False n_matched=1 block_chars=388 reply_chars=388
2026-05-04 01:37:11 | INFO    | ontchatbot.api.server              | [http] rid=d0228ca7 status=200 elapsed=119.3ms
2026-05-04 01:37:22 | INFO    | ontchatbot.api.server              | [http] rid=bdeba312 POST /chat
2026-05-04 01:37:22 | INFO    | ontchatbot.pipeline                | [recv] message='hp cntt như nào' length=15
2026-05-04 01:37:22 | INFO    | ontchatbot.ner.inference           | [preprocess] words(n=5)=['học', 'phần', 'cntt', 'như', 'nào']
2026-05-04 01:37:22 | INFO    | ontchatbot.ner.inference           | [ner] tags=[('học', 'B-QuyTrinhHocVu'), ('phần', 'I-QuyTrinhHocVu'), ('cntt', 'B-PhongBanHanhChinh'), ('như', 'O'), ('nào', 'O')]
2026-05-04 01:37:22 | INFO    | ontchatbot.pipeline                | [ner] extracted=2 spans=[{'surface': 'học phần', 'tag': 'QuyTrinhHocVu', 'start': 0, 'end': 2}, {'surface': 'cntt', 'tag': 'PhongBanHanhChinh', 'start': 2, 'end': 3}]
2026-05-04 01:37:22 | INFO    | ontchatbot.pipeline                | [fuzzy] surface='học phần' tag=QuyTrinhHocVu candidates=[('QuyTrinh_DangKyHocPhan', 100.0), ('QuyTrinh_RutMonHoc', 100.0), ('QuyTrinh_NopHocPhi', 80.0)]
2026-05-04 01:37:22 | INFO    | ontchatbot.pipeline                | [fuzzy] pick surface='học phần' tag=QuyTrinhHocVu -> iri=QuyTrinh_DangKyHocPhan score=100.00
2026-05-04 01:37:22 | INFO    | ontchatbot.pipeline                | [fuzzy] surface='cntt' tag=PhongBanHanhChinh candidates=[('PhongCTSV', 50.0), ('PhongKHTC', 31.58), ('PhongDaoTaoDaiHoc', 28.57)]
2026-05-04 01:37:22 | INFO    | ontchatbot.pipeline                | [fuzzy] reject surface='cntt' tag=PhongBanHanhChinh (below threshold)
2026-05-04 01:37:22 | INFO    | ontchatbot.ontology.queries        | [fetch] tag=QuyTrinhHocVu iri=QuyTrinh_DangKyHocPhan keys=['based_on', 'decision', 'description', 'executed_via', 'handled_by', 'iri', 'kind', 'label', 'outputs', 'steps', 'video_url']
2026-05-04 01:37:22 | INFO    | ontchatbot.ontology.response       | [render] tag=QuyTrinhHocVu iri=QuyTrinh_DangKyHocPhan chars=672
2026-05-04 01:37:22 | INFO    | ontchatbot.pipeline                | [compose] greeting=False n_matched=1 block_chars=672 reply_chars=672
2026-05-04 01:37:22 | INFO    | ontchatbot.api.server              | [http] rid=bdeba312 status=200 elapsed=199.5ms
2026-05-04 01:37:38 | INFO    | ontchatbot.api.server              | [http] rid=a08ea6db POST /chat
2026-05-04 01:37:38 | INFO    | ontchatbot.pipeline                | [recv] message='học phí cntt k65 như nào' length=24
2026-05-04 01:37:38 | INFO    | ontchatbot.ner.inference           | [preprocess] words(n=5)=['học_phí', 'cntt', 'k65', 'như', 'nào']
2026-05-04 01:37:38 | INFO    | ontchatbot.ner.inference           | [ner] tags=[('học_phí', 'B-DinhMucHocPhi'), ('cntt', 'I-DinhMucHocPhi'), ('k65', 'I-DinhMucHocPhi'), ('như', 'O'), ('nào', 'O')]
2026-05-04 01:37:38 | INFO    | ontchatbot.pipeline                | [ner] extracted=1 spans=[{'surface': 'học phí cntt k65', 'tag': 'DinhMucHocPhi', 'start': 0, 'end': 3}]
2026-05-04 01:37:38 | INFO    | ontchatbot.pipeline                | [fuzzy] surface='học phí cntt k65' tag=DinhMucHocPhi candidates=[('Phi_K65_550k', 81.48), ('Phi_K65_620k', 81.48), ('Phi_K63_600k', 61.9)]
2026-05-04 01:37:38 | INFO    | ontchatbot.pipeline                | [fuzzy] pick surface='học phí cntt k65' tag=DinhMucHocPhi -> iri=Phi_K65_550k score=81.48
2026-05-04 01:37:38 | INFO    | ontchatbot.ontology.queries        | [fetch] tag=DinhMucHocPhi iri=Phi_K65_550k keys=['based_on', 'decision', 'fee_per_credit', 'iri', 'kind', 'label', 'target']
2026-05-04 01:37:38 | INFO    | ontchatbot.ontology.response       | [render] tag=DinhMucHocPhi iri=Phi_K65_550k chars=337
2026-05-04 01:37:38 | INFO    | ontchatbot.pipeline                | [compose] greeting=True n_matched=1 block_chars=337 reply_chars=494
2026-05-04 01:37:38 | INFO    | ontchatbot.api.server              | [http] rid=a08ea6db status=200 elapsed=104.4ms
2026-05-04 01:38:35 | INFO    | ontchatbot.api.server              | [http] rid=403debbf POST /chat
2026-05-04 01:38:35 | INFO    | ontchatbot.pipeline                | [recv] message='cho tôi thông tin về văn phòng và phòng khtc' length=44
